ID	NA-
AC127029.3	0.2187
AC129492.3	0
AC131160.1	0
AC132217.2	0.881
AC134669.1	0
AC134980.2	0
AC135050.2	1.0431
AC135068.1	5.8401
AC135068.4	0.1469
AC135178.3	0
AC136428.1	0
AC137834.1	0.1418
AC138647.1	0
AC138696.1	0
AC138811.2	0
AC138894.1	1.6384
AC138969.1	0.0639
AC139491.7	0
AC139530.2	0
AC140504.1	0.4238
AC142391.1	0
AC144573.1	0
AC231656.1	0.0406
AC231657.3	0.4087
AC233723.1	0
AC233992.2	0
AC235565.2	0
AC236972.4	1.0665
AC242628.1	0
AC242842.3	1.2555
AC243547.3	0.4147
AC243967.1	0.3293
AC244197.3	0.1466
AC244517.10	0.2749
AC245033.1	0.5659
AC245748.1	0
AC253536.7	1.242
ACAA1	0.3244
ACAA2	12.2598
ACACA	0.0807
ACACB	5.538
ACAD10	7.9088
ACAD11	0.1097
ACAD8	4.5567
ACAD9	4.6989
ACADL	16.584
ACADM	0.9852
ACADS	32.9658
ACADSB	73.7724
ACADVL	9.9203
ACAN	3.1849
ACAP1	8.5769
ACAP2	3.8427
ACAP3	77.2377
ACAT1	2.076
ACAT2	2.5881
ACBD3	20.8013
ACBD4	28.8391
ACBD5	30.8049
ACBD6	0
ACBD7	0
ACCS	0.6588
ACCSL	0.1097
ACD	12.691
ACE	37.3199
ACE2	51.7121
ACER1	0.3577
ACER2	0
ACER3	51.474
ACHE	8.3326
ACIN1	35.1141
ACKR1	1.1224
ACKR2	1.2047
ACKR3	0.3777
ACKR4	0.0848
ACLY	105.4337
ACMSD	0.809
ACO1	149.9694
ACO2	4.0038
ACOD1	10.8722
ACOT1	33.2991
ACOT11	10.9486
ACOT12	0
ACOT13	20.4642
ACOT2	181.7535
ACOT4	5.4197
ACOT6	0.105
ACOT7	13.08
ACOT8	22.4328
ACOT9	11.9565
ACOX1	20.1366
ACOX2	2.6233
ACOX3	20.3614
ACOXL	4.6233
ACP1	105.6735
ACP2	0.6986
ACP3	38.6621
ACP4	3.8963
ACP5	3.9254
ACP6	1.803
ACP7	2.7907
ACR	1.5903
ACRBP	379.6544
ACRV1	17.3204
ACSBG1	24.48
ACSBG2	15.3663
ACSF2	2.3966
ACSF3	0
ACSL1	0.2303
ACSL3	36.0775
ACSL4	11.0411
ACSL5	7.4158
ACSL6	4.3415
ACSM1	38.586
ACSM2A	10.0329
ACSM2B	24.9571
ACSM3	2.2364
ACSM4	0
ACSM5	36.3567
ACSM6	20.8285
ACSS1	3.8648
ACSS2	0
ACSS3	0
ACTA1	56.7792
ACTA2	29.3216
ACTB	0.9339
ACTBL2	19.1703
ACTC1	2.4967
ACTG1	0
ACTG2	4.1762
ACTL10	1.1244
ACTL6A	68.839
ACTL6B	42.6873
ACTL7A	0
ACTL7B	0
ACTL8	28.7444
ACTL9	0.1129
ACTN1	24.7189
ACTN2	8.6171
ACTN3	0
ACTN4	106.5259
ACTR10	8.9638
ACTR1A	9.5086
ACTR1B	13.3332
ACTR2	13.7616
ACTR3	233.2824
ACTR3B	72.8121
ACTR3C	32.572
ACTR5	0.0838
ACTR6	2.1978
